Environment Variable NDN_TRAFFIC_LOGFOLDER Not Set.
Using Default Output For Logging.
2015-Mar-26 02:17:25 - Analyzing Traffic Configuration File: NDN_Traffic_Client_000
2015-Mar-26 02:17:25 - Traffic Configuration File Processing Completed

Traffic Pattern Type #1
TrafficPercentage=100, Name=/abcde/fghij/klmno/, NameAppendSequenceNumber=1, MustBeFresh=1
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=36, LocalID=36, Name=/abcde/fghij/klmno/36
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=37, LocalID=37, Name=/abcde/fghij/klmno/37
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=38, LocalID=38, Name=/abcde/fghij/klmno/38
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=39, LocalID=39, Name=/abcde/fghij/klmno/39
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=40, LocalID=40, Name=/abcde/fghij/klmno/40
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=41, LocalID=41, Name=/abcde/fghij/klmno/41
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=42, LocalID=42, Name=/abcde/fghij/klmno/42
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=43, LocalID=43, Name=/abcde/fghij/klmno/43
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=44, LocalID=44, Name=/abcde/fghij/klmno/44
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=45, LocalID=45, Name=/abcde/fghij/klmno/45
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=46, LocalID=46, Name=/abcde/fghij/klmno/46
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=47, LocalID=47, Name=/abcde/fghij/klmno/47
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=48, LocalID=48, Name=/abcde/fghij/klmno/48
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=49, LocalID=49, Name=/abcde/fghij/klmno/49
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=50, LocalID=50, Name=/abcde/fghij/klmno/50
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=51, LocalID=51, Name=/abcde/fghij/klmno/51
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=52, LocalID=52, Name=/abcde/fghij/klmno/52
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=53, LocalID=53, Name=/abcde/fghij/klmno/53
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=54, LocalID=54, Name=/abcde/fghij/klmno/54
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=55, LocalID=55, Name=/abcde/fghij/klmno/55
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=56, LocalID=56, Name=/abcde/fghij/klmno/56
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=57, LocalID=57, Name=/abcde/fghij/klmno/57
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=58, LocalID=58, Name=/abcde/fghij/klmno/58
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=59, LocalID=59, Name=/abcde/fghij/klmno/59
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=60, LocalID=60, Name=/abcde/fghij/klmno/60
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=61, LocalID=61, Name=/abcde/fghij/klmno/61
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=62, LocalID=62, Name=/abcde/fghij/klmno/62
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=63, LocalID=63, Name=/abcde/fghij/klmno/63
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=64, LocalID=64, Name=/abcde/fghij/klmno/64
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=65, LocalID=65, Name=/abcde/fghij/klmno/65
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=66, LocalID=66, Name=/abcde/fghij/klmno/66
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=67, LocalID=67, Name=/abcde/fghij/klmno/67
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=68, LocalID=68, Name=/abcde/fghij/klmno/68
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=69, LocalID=69, Name=/abcde/fghij/klmno/69
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=70, LocalID=70, Name=/abcde/fghij/klmno/70
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=71, LocalID=71, Name=/abcde/fghij/klmno/71
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=72, LocalID=72, Name=/abcde/fghij/klmno/72
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=73, LocalID=73, Name=/abcde/fghij/klmno/73
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=74, LocalID=74, Name=/abcde/fghij/klmno/74
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=75, LocalID=75, Name=/abcde/fghij/klmno/75
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=76, LocalID=76, Name=/abcde/fghij/klmno/76
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=77, LocalID=77, Name=/abcde/fghij/klmno/77
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=78, LocalID=78, Name=/abcde/fghij/klmno/78
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=79, LocalID=79, Name=/abcde/fghij/klmno/79
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=80, LocalID=80, Name=/abcde/fghij/klmno/80
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=81, LocalID=81, Name=/abcde/fghij/klmno/81
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=82, LocalID=82, Name=/abcde/fghij/klmno/82
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=83, LocalID=83, Name=/abcde/fghij/klmno/83
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=84, LocalID=84, Name=/abcde/fghij/klmno/84
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=85, LocalID=85, Name=/abcde/fghij/klmno/85
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=86, LocalID=86, Name=/abcde/fghij/klmno/86
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=87, LocalID=87, Name=/abcde/fghij/klmno/87
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=88, LocalID=88, Name=/abcde/fghij/klmno/88
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=89, LocalID=89, Name=/abcde/fghij/klmno/89
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=90, LocalID=90, Name=/abcde/fghij/klmno/90
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=91, LocalID=91, Name=/abcde/fghij/klmno/91
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=92, LocalID=92, Name=/abcde/fghij/klmno/92
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=93, LocalID=93, Name=/abcde/fghij/klmno/93
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=94, LocalID=94, Name=/abcde/fghij/klmno/94
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=95, LocalID=95, Name=/abcde/fghij/klmno/95
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=96, LocalID=96, Name=/abcde/fghij/klmno/96
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=97, LocalID=97, Name=/abcde/fghij/klmno/97
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=98, LocalID=98, Name=/abcde/fghij/klmno/98
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=99, LocalID=99, Name=/abcde/fghij/klmno/99
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=100, LocalID=100, Name=/abcde/fghij/klmno/100
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=101, LocalID=101, Name=/abcde/fghij/klmno/101
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=102, LocalID=102, Name=/abcde/fghij/klmno/102
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=103, LocalID=103, Name=/abcde/fghij/klmno/103
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=104, LocalID=104, Name=/abcde/fghij/klmno/104
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=105, LocalID=105, Name=/abcde/fghij/klmno/105
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=106, LocalID=106, Name=/abcde/fghij/klmno/106
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=107, LocalID=107, Name=/abcde/fghij/klmno/107
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=108, LocalID=108, Name=/abcde/fghij/klmno/108
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=109, LocalID=109, Name=/abcde/fghij/klmno/109
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=110, LocalID=110, Name=/abcde/fghij/klmno/110
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=111, LocalID=111, Name=/abcde/fghij/klmno/111
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=112, LocalID=112, Name=/abcde/fghij/klmno/112
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=113, LocalID=113, Name=/abcde/fghij/klmno/113
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=114, LocalID=114, Name=/abcde/fghij/klmno/114
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=115, LocalID=115, Name=/abcde/fghij/klmno/115
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=116, LocalID=116, Name=/abcde/fghij/klmno/116
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=117, LocalID=117, Name=/abcde/fghij/klmno/117
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=118, LocalID=118, Name=/abcde/fghij/klmno/118
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=119, LocalID=119, Name=/abcde/fghij/klmno/119
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=120, LocalID=120, Name=/abcde/fghij/klmno/120
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=121, LocalID=121, Name=/abcde/fghij/klmno/121
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=122, LocalID=122, Name=/abcde/fghij/klmno/122
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=123, LocalID=123, Name=/abcde/fghij/klmno/123
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=124, LocalID=124, Name=/abcde/fghij/klmno/124
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=125, LocalID=125, Name=/abcde/fghij/klmno/125
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=126, LocalID=126, Name=/abcde/fghij/klmno/126
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=127, LocalID=127, Name=/abcde/fghij/klmno/127
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=128, LocalID=128, Name=/abcde/fghij/klmno/128
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=129, LocalID=129, Name=/abcde/fghij/klmno/129
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=130, LocalID=130, Name=/abcde/fghij/klmno/130
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=131, LocalID=131, Name=/abcde/fghij/klmno/131
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=132, LocalID=132, Name=/abcde/fghij/klmno/132
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=133, LocalID=133, Name=/abcde/fghij/klmno/133
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=134, LocalID=134, Name=/abcde/fghij/klmno/134
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=135, LocalID=135, Name=/abcde/fghij/klmno/135
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=136, LocalID=136, Name=/abcde/fghij/klmno/136
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=137, LocalID=137, Name=/abcde/fghij/klmno/137
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=138, LocalID=138, Name=/abcde/fghij/klmno/138
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=139, LocalID=139, Name=/abcde/fghij/klmno/139
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=140, LocalID=140, Name=/abcde/fghij/klmno/140
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=141, LocalID=141, Name=/abcde/fghij/klmno/141
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=142, LocalID=142, Name=/abcde/fghij/klmno/142
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=143, LocalID=143, Name=/abcde/fghij/klmno/143
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=144, LocalID=144, Name=/abcde/fghij/klmno/144
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=145, LocalID=145, Name=/abcde/fghij/klmno/145
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=146, LocalID=146, Name=/abcde/fghij/klmno/146
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=147, LocalID=147, Name=/abcde/fghij/klmno/147
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=148, LocalID=148, Name=/abcde/fghij/klmno/148
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=149, LocalID=149, Name=/abcde/fghij/klmno/149
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=150, LocalID=150, Name=/abcde/fghij/klmno/150
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=151, LocalID=151, Name=/abcde/fghij/klmno/151
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=152, LocalID=152, Name=/abcde/fghij/klmno/152
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=153, LocalID=153, Name=/abcde/fghij/klmno/153
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=154, LocalID=154, Name=/abcde/fghij/klmno/154
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=155, LocalID=155, Name=/abcde/fghij/klmno/155
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=156, LocalID=156, Name=/abcde/fghij/klmno/156
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=157, LocalID=157, Name=/abcde/fghij/klmno/157
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=158, LocalID=158, Name=/abcde/fghij/klmno/158
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=159, LocalID=159, Name=/abcde/fghij/klmno/159
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=160, LocalID=160, Name=/abcde/fghij/klmno/160
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=161, LocalID=161, Name=/abcde/fghij/klmno/161
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=162, LocalID=162, Name=/abcde/fghij/klmno/162
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=163, LocalID=163, Name=/abcde/fghij/klmno/163
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=164, LocalID=164, Name=/abcde/fghij/klmno/164
2015-Mar-26 02:17:26 - Sending Interest   - PatternType=1, GlobalID=165, LocalID=165, Name=/abcde/fghij/klmno/165
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=166, LocalID=166, Name=/abcde/fghij/klmno/166
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=167, LocalID=167, Name=/abcde/fghij/klmno/167
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=168, LocalID=168, Name=/abcde/fghij/klmno/168
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=169, LocalID=169, Name=/abcde/fghij/klmno/169
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=170, LocalID=170, Name=/abcde/fghij/klmno/170
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=171, LocalID=171, Name=/abcde/fghij/klmno/171
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=172, LocalID=172, Name=/abcde/fghij/klmno/172
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=173, LocalID=173, Name=/abcde/fghij/klmno/173
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=174, LocalID=174, Name=/abcde/fghij/klmno/174
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=175, LocalID=175, Name=/abcde/fghij/klmno/175
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=176, LocalID=176, Name=/abcde/fghij/klmno/176
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=177, LocalID=177, Name=/abcde/fghij/klmno/177
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=178, LocalID=178, Name=/abcde/fghij/klmno/178
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=179, LocalID=179, Name=/abcde/fghij/klmno/179
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=180, LocalID=180, Name=/abcde/fghij/klmno/180
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=181, LocalID=181, Name=/abcde/fghij/klmno/181
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=182, LocalID=182, Name=/abcde/fghij/klmno/182
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=183, LocalID=183, Name=/abcde/fghij/klmno/183
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=184, LocalID=184, Name=/abcde/fghij/klmno/184
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=185, LocalID=185, Name=/abcde/fghij/klmno/185
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=186, LocalID=186, Name=/abcde/fghij/klmno/186
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=187, LocalID=187, Name=/abcde/fghij/klmno/187
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=188, LocalID=188, Name=/abcde/fghij/klmno/188
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=189, LocalID=189, Name=/abcde/fghij/klmno/189
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=190, LocalID=190, Name=/abcde/fghij/klmno/190
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=191, LocalID=191, Name=/abcde/fghij/klmno/191
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=192, LocalID=192, Name=/abcde/fghij/klmno/192
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=193, LocalID=193, Name=/abcde/fghij/klmno/193
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=194, LocalID=194, Name=/abcde/fghij/klmno/194
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=195, LocalID=195, Name=/abcde/fghij/klmno/195
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=196, LocalID=196, Name=/abcde/fghij/klmno/196
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=197, LocalID=197, Name=/abcde/fghij/klmno/197
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=198, LocalID=198, Name=/abcde/fghij/klmno/198
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=199, LocalID=199, Name=/abcde/fghij/klmno/199
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=200, LocalID=200, Name=/abcde/fghij/klmno/200
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=201, LocalID=201, Name=/abcde/fghij/klmno/201
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=202, LocalID=202, Name=/abcde/fghij/klmno/202
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=203, LocalID=203, Name=/abcde/fghij/klmno/203
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=204, LocalID=204, Name=/abcde/fghij/klmno/204
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=205, LocalID=205, Name=/abcde/fghij/klmno/205
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=206, LocalID=206, Name=/abcde/fghij/klmno/206
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=207, LocalID=207, Name=/abcde/fghij/klmno/207
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=208, LocalID=208, Name=/abcde/fghij/klmno/208
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=209, LocalID=209, Name=/abcde/fghij/klmno/209
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=210, LocalID=210, Name=/abcde/fghij/klmno/210
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=211, LocalID=211, Name=/abcde/fghij/klmno/211
2015-Mar-26 02:17:27 - Sending Interest   - PatternType=1, GlobalID=212, LocalID=212, Name=/abcde/fghij/klmno/212
